run_name,fold,epoch,train_mse_total,train_mse_angle,train_mse_speed,val_mse_total,val_mse_angle,val_mse_speed,lr
effnetv2s_320x240_20260217_205632,0,1,0.1838251994558553,0.044199857049148174,0.07332555697216293,0.06599374506124035,0.014864655709762331,0.02883210552834961,0.0003
effnetv2s_320x240_20260217_205632,0,2,0.058868250929277034,0.015551184514776788,0.019990289625506873,0.04848603724716002,0.011814907638774975,0.018948768278979462,0.00029795419551040833
effnetv2s_320x240_20260217_205632,0,3,0.05061744481283526,0.01357879234457066,0.01667046397075697,0.045005119939489746,0.010582443461538159,0.01854901136309271,0.00029187258625509513
effnetv2s_320x240_20260217_205632,0,4,0.04606709235956549,0.012079353566546847,0.015868708251828494,0.045041585908888696,0.010831743850721371,0.017962226488776076,0.00028192106268097334
effnetv2s_320x240_20260217_205632,0,5,0.04219458097664837,0.011026751211006715,0.014627702928035372,0.040467244671022556,0.009434950881924767,0.016879867057280073,0.00026837107640945905
effnetv2s_320x240_20260217_205632,0,6,0.03797875364524359,0.009928508097170618,0.01315748344784259,0.041896945729898334,0.009566809331721778,0.017979922717751798,0.00025159223574386114
effnetv2s_320x240_20260217_205632,0,7,0.03856150019789042,0.00976430390461988,0.014150740347931736,0.04019430754165663,0.009124596276911942,0.01738281681732918,0.00023204222371836405
effnetv2s_320x240_20260217_205632,0,8,0.03339197331592025,0.00861691370054913,0.011849689000120645,0.038864045828933054,0.008358616582747596,0.017967503993724383,0.0002102543136979454
effnetv2s_320x240_20260217_205632,0,9,0.029824155133071892,0.007700872039110218,0.010571975121987959,0.036903448041617805,0.007759393616082574,0.017504963974300403,0.00018682282307111987
effnetv2s_320x240_20260217_205632,0,10,0.026581979611649195,0.006719555708387211,0.00978309028639602,0.03522667672833429,0.007455875163656382,0.01658698895037806,0.00016238690182084986
effnetv2s_320x240_20260217_205632,0,11,0.0241476004272075,0.006324686816315994,0.008335883429067228,0.03512301939472603,0.007777932410924425,0.015678188279607787,0.00013761309817915014
effnetv2s_320x240_20260217_205632,0,12,0.02184347644208946,0.005936924065073026,0.007001166251354827,0.036712243417546614,0.007310400825404317,0.01843624142104443,0.00011317717692888012
effnetv2s_320x240_20260217_205632,0,13,0.020740339691183586,0.005480194786906908,0.007039852668665783,0.03394452718384033,0.007134652254195948,0.016107896781666672,8.97456863020546e-05
effnetv2s_320x240_20260217_205632,0,14,0.01900553662205042,0.005109524273693395,0.006231725998016337,0.034356877958770425,0.007246950458376553,0.01623950136367712,6.795777628163599e-05
