epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.0014436458929992,0.4879807692307692,0.6445190693183073,0.7252747252747253,0.0005
2,0.519100241172008,0.8076923076923077,0.4303895870407859,0.8273155416012559,0.001
3,0.3550418068965276,0.8729967948717948,0.306792963524254,0.9073783359497645,0.000992403876506104
4,0.28218088776637346,0.8978365384615384,0.28929563037454614,0.9246467817896389,0.0009698463103929542
5,0.29203573442422426,0.9038461538461539,0.39711331333994304,0.8775510204081632,0.0009330127018922195
6,0.2383490861990513,0.9190705128205128,0.33812801284917293,0.8916797488226059,0.000883022221559489
7,0.20683051129946342,0.9302884615384616,0.24770034903446958,0.9293563579277865,0.0008213938048432696
8,0.16035246849060059,0.9431089743589743,0.3616597771738163,0.9105180533751962,0.00075
9,0.15376325152241266,0.9463141025641025,0.2827255729135576,0.8995290423861853,0.0006710100716628344
10,0.13010050671604964,0.9551282051282052,0.2714686358180862,0.9277864992150706,0.0005868240888334653
11,0.12492872507144244,0.9587339743589743,0.25445562320376863,0.9309262166405023,0.0005
12,0.102685481405411,0.9643429487179487,0.2807547879088056,0.9246467817896389,0.00041317591116653486
13,0.09436044536339931,0.9651442307692307,0.2761140232043139,0.9199372056514914,0.0003289899283371657
