epoch,train_loss,lr,selection_score,val_mae,val_mae_left,val_mae_straight,val_mae_right,bend_mae,bend_mae_left,bend_mae_straight,bend_mae_right
1,1130.356632232666,0.000996057350657239,15.61499309539795,13.105799674987793,25.94785499572754,6.455587387084961,10.894144058227539,15.61499309539795,29.16975975036621,4.54750394821167,19.421875
2,333.20752105712893,0.0009842915805643156,29.381168365478516,28.00550079345703,47.51035690307617,28.01808738708496,11.019063949584961,29.381168365478516,50.732261657714844,25.690853118896484,6.560546875
3,207.07202043533326,0.0009648882429441258,32.96756362915039,32.45899963378906,52.07285690307617,32.580589294433594,15.230855941772461,32.96756362915039,55.294761657714844,30.253353118896484,6.703125
4,195.52285985946656,0.0009381533400219318,24.77432632446289,22.128549575805664,41.21689987182617,21.759014129638672,6.01938533782959,24.77432632446289,44.354393005371094,19.310171127319336,8.2080078125
5,159.7844509124756,0.0009045084971874737,20.514925003051758,17.307174682617188,34.14201354980469,16.030384063720703,4.381113052368164,20.514925003051758,37.20346450805664,13.585413932800293,11.159765243530273
6,183.15366897583007,0.0008644843137107057,33.16175079345703,22.13838768005371,14.764561653137207,26.383625030517578,22.833293914794922,33.16175079345703,13.973867416381836,36.54340362548828,53.53349685668945
7,141.68800077438354,0.0008187119948743448,9.332880020141602,10.993387222290039,13.272974967956543,12.288145065307617,7.265443801879883,9.332880020141602,11.637554168701172,8.357162475585938,8.080273628234863
8,120.02738075256347,0.0007679133974894982,10.572787284851074,15.34473705291748,14.71435832977295,17.173978805541992,13.428290367126465,10.572787284851074,14.248703956604004,10.452635765075684,5.563574314117432
9,106.61862602233887,0.0007128896457825362,9.12482738494873,7.45968770980835,9.323548316955566,8.61956787109375,4.275177001953125,9.12482738494873,9.156659126281738,10.878679275512695,5.401659965515137
10,92.65811080932617,0.0006545084971874736,7.633906841278076,12.403162956237793,10.52431583404541,15.256954193115234,10.192326545715332,7.633906841278076,8.786298751831055,7.891393661499023,5.444628715515137
11,95.56458768844604,0.0005936906572928624,5.833311557769775,7.082462310791016,9.039617538452148,8.273519515991211,3.7747747898101807,5.833311557769775,8.548785209655762,5.076425075531006,3.533886671066284
12,93.86870684623719,0.0005313952597646568,6.709950923919678,6.838137626647949,8.657544136047363,7.5877509117126465,4.245133399963379,6.709950923919678,9.36483383178711,6.452822208404541,3.4493165016174316
13,77.4436502456665,0.00046860474023534336,7.131534576416016,7.80391263961792,8.222771644592285,9.33094596862793,5.381837368011475,7.131534576416016,8.890488624572754,7.363357067108154,4.1279296875
14,80.79798455238343,0.0004063093427071377,6.4616546630859375,8.211625099182129,8.435420036315918,9.943260192871094,5.683558464050293,6.4616546630859375,8.548648834228516,6.415704250335693,3.570996046066284
15,70.2501281261444,0.00034549150281252644,6.2788777351379395,5.920862674713135,6.302330017089844,7.148131370544434,3.9352476596832275,6.2788777351379395,7.655567646026611,6.744225025177002,3.332714796066284
16,67.71547684669494,0.00028711035421746366,6.134920597076416,6.142125129699707,7.020016670227051,7.223167419433594,3.9216537475585938,6.134920597076416,8.079421043395996,6.363357067108154,2.872851610183716
17,64.42859210968018,0.00023208660251050156,5.799861907958984,6.259162425994873,7.668454170227051,7.186097145080566,3.784025192260742,5.799861907958984,8.431973457336426,5.417613506317139,2.834179639816284
18,64.3861174583435,0.00018128800512565513,5.35069465637207,5.5296502113342285,6.427699565887451,6.385446548461914,3.5951576232910156,5.35069465637207,6.494473457336426,5.709482192993164,2.9613280296325684
19,59.05696229934692,0.00013551568628929433,5.554973125457764,5.7321248054504395,6.3032546043396,6.874582290649414,3.6957850456237793,5.554973125457764,6.803902626037598,6.123230457305908,2.575878858566284
20,57.44580054283142,9.549150281252634e-05,5.357142925262451,5.0133748054504395,5.587000846862793,5.709527015686035,3.5762548446655273,5.357142925262451,6.6525654792785645,5.6205291748046875,2.9507813453674316
21,55.998408794403076,6.184665997806823e-05,5.401763916015625,5.371862411499023,6.248844146728516,6.157294750213623,3.5505146980285645,5.401763916015625,7.400859832763672,5.345286846160889,2.658984422683716
22,55.376794052124026,3.511175705587433e-05,5.159571170806885,5.03876256942749,5.8638129234313965,5.671233177185059,3.468709707260132,5.159571170806885,6.709743499755859,5.277523994445801,2.693554639816284
23,54.801405382156375,1.570841943568452e-05,4.935149192810059,5.053137302398682,5.796274185180664,5.747194290161133,3.4713642597198486,4.935149192810059,6.642398834228516,4.977738380432129,2.40234375
24,52.987397003173825,3.942649342761118e-06,5.062111854553223,5.009200096130371,5.662213325500488,5.733912467956543,3.464527130126953,5.062111854553223,6.516785144805908,5.239567756652832,2.6080079078674316
25,53.939512491226196,0.0,5.0339674949646,5.0378499031066895,5.639700412750244,5.822409152984619,3.4570462703704834,5.0339674949646,6.449235916137695,5.2817158699035645,2.4888672828674316
