epoch,train_loss,lr,mae,mae_left,mae_straight,mae_right
1,593.3383050918579,0.0009979871469976197,15.387200355529785,16.485946655273438,11.335243225097656,19.89124870300293
2,147.92298908233641,0.0009919647942993148,11.317687034606934,8.954927444458008,11.855868339538574,12.648125648498535
3,102.54069156646729,0.0009819814303479266,12.17666244506836,14.183940887451172,11.108255386352539,11.869972229003906
4,96.40317296981812,0.0009681174353198686,15.53793716430664,10.047198295593262,15.486568450927734,20.384170532226562
5,106.32029848098755,0.0009504844339512095,10.442500114440918,12.656712532043457,9.128342628479004,10.286920547485352
6,101.33395557403564,0.000929224396800933,8.410625457763672,6.705667495727539,8.324827194213867,10.00957202911377
7,85.63481950759888,0.0009045084971874736,13.648249626159668,9.469212532043457,14.116851806640625,16.652629852294922
8,74.1402675151825,0.0008765357330018054,10.610762596130371,7.25661039352417,9.340466499328613,15.240629196166992
9,84.36382603645325,0.0008455313244934323,7.070662498474121,6.44651460647583,6.5075812339782715,8.37242603302002
10,77.01763606071472,0.0008117449009293667,12.78754997253418,9.66822338104248,13.156608581542969,15.00410270690918
11,80.38760814666747,0.0007754484907260511,10.15939998626709,7.889931678771973,10.294711112976074,11.951536178588867
12,80.58477063179016,0.0007369343312364992,7.6180500984191895,6.784393310546875,7.168756008148193,8.948760986328125
13,76.03218278884887,0.0006965125158269617,13.918837547302246,9.912028312683105,14.0421142578125,17.238698959350586
14,73.18426523208618,0.0006545084971874735,12.125137329101562,9.10133171081543,12.52426528930664,14.218066215515137
15,68.79539675712586,0.000611260466978157,12.111974716186523,7.937083721160889,11.730121612548828,16.25872802734375
16,64.60174798965454,0.0005671166329088276,18.961299896240234,12.152782440185547,19.616195678710938,24.00233268737793
17,62.94022541046142,0.0005224324151752573,12.825900077819824,9.34351921081543,13.389863967895508,15.095680236816406
18,68.27355799674987,0.00047756758482474243,14.082587242126465,8.961723327636719,13.110285758972168,19.847972869873047
19,56.52241172790527,0.0004328833670911722,15.196012496948242,10.003467559814453,15.243851661682129,19.649131774902344
20,51.19314136505127,0.00038873953302184273,13.278400421142578,9.325166702270508,12.987613677978516,17.109596252441406
21,60.14095711708069,0.0003454915028125262,11.621424674987793,8.116354942321777,11.509879112243652,14.821187019348145
22,46.51100015640259,0.00030348748417303827,14.505575180053711,10.103411674499512,14.60703182220459,18.198801040649414
23,47.391894698143005,0.0002630656687635006,10.345749855041504,7.859236240386963,10.305665016174316,12.56306266784668
24,46.98345837593079,0.00022455150927394875,13.304337501525879,9.295811653137207,13.35353946685791,16.725505828857422
25,43.648595094680786,0.00018825509907063323,9.582650184631348,6.832054138183594,9.304351806640625,12.3507080078125
26,45.31188912391663,0.0001544686755065677,12.080037117004395,8.664848327636719,12.099002838134766,15.025739669799805
27,43.849863624572755,0.00012346426699819455,13.530850410461426,9.79710578918457,14.08772087097168,16.02887725830078
28,41.99407150745392,9.549150281252631e-05,12.300374984741211,9.036242485046387,12.547696113586426,14.806949615478516
29,42.41234617233276,7.077560319906693e-05,15.251850128173828,10.305935859680176,15.616613388061523,19.063344955444336
30,40.26193282604218,4.951556604879047e-05,12.951637268066406,8.946699142456055,13.161413192749023,16.1533145904541
31,39.88666903972626,3.188256468013139e-05,13.317000389099121,9.299787521362305,13.588706016540527,16.445905685424805
32,39.644061374664304,1.8018569652073372e-05,12.928362846374512,8.994544982910156,13.06238079071045,16.170246124267578
33,39.084141683578494,8.035205700685162e-06,12.759499549865723,9.090005874633789,13.050829887390137,15.559443473815918
34,39.38956191539764,2.012853002380465e-06,12.971375465393066,9.182738304138184,13.269878387451172,15.865306854248047
35,39.24248113632202,0.0,13.320150375366211,9.377219200134277,13.650907516479492,16.304859161376953
