epoch,train_loss,lr,selection_score,val_mae,val_mae_left,val_mae_straight,val_mae_right,bend_mae,bend_mae_left,bend_mae_straight,bend_mae_right
1,1698.3250568389892,0.0009979871469976197,27.058399200439453,17.74257469177246,14.800665855407715,13.782563209533691,25.638151168823242,15.871334075927734,23.510507583618164,5.322000980377197,27.058399200439453
2,440.23592681884764,0.0009919647942993148,7.350195407867432,24.711149215698242,40.7957649230957,23.46442222595215,12.397281646728516,31.510438919067383,52.77156066894531,28.52039909362793,7.350195407867432
3,377.97779693603513,0.0009819814303479266,9.142578125,14.26722526550293,25.722679138183594,11.053814888000488,8.630871772766113,19.94483184814453,36.853031158447266,13.555514335632324,9.142578125
4,326.69676570892335,0.0009681174353198686,21.8876953125,11.459449768066406,14.26322078704834,7.027817726135254,14.991714477539062,13.296972274780273,20.887008666992188,4.019373893737793,21.8876953125
5,275.4707767486572,0.0009504844339512095,22.225780487060547,10.413125038146973,13.599851608276367,5.927769660949707,13.68460464477539,14.32962417602539,18.48321533203125,7.728856086730957,22.225780487060547
6,284.4759925842285,0.000929224396800933,5.851171970367432,24.491575241088867,38.61686325073242,24.295665740966797,12.466377258300781,27.122455596923828,45.17576599121094,24.94420623779297,5.851171970367432
7,339.3781888961792,0.0009045084971874736,7.175390720367432,15.226499557495117,27.755916595458984,13.39732551574707,6.79054069519043,19.21480369567871,34.607940673828125,14.44960880279541,7.175390720367432
8,245.63250827789307,0.0008765357330018054,11.470898628234863,10.943249702453613,20.893953323364258,7.760745048522949,6.574404716491699,13.367451667785645,25.78125,5.798714637756348,11.470898628234863
9,248.21781978607177,0.0008455313244934323,4.974804878234863,16.982900619506836,28.271541595458984,15.943170547485352,8.562661170959473,17.932065963745117,33.70742416381836,13.343703269958496,4.974804878234863
10,240.9801664352417,0.0008117449009293667,5.032812595367432,15.35842514038086,25.816104888916016,14.59252643585205,7.292149066925049,15.946903228759766,29.455923080444336,11.931073188781738,5.032812595367432
11,230.5560661315918,0.0007754484907260511,10.058398246765137,9.476349830627441,15.893768310546875,7.251850605010986,6.8906049728393555,9.835878372192383,18.446643829345703,3.8523659706115723,10.058398246765137
12,194.64373950958253,0.0007369343312364992,14.809961318969727,8.468350410461426,8.813193321228027,5.324916362762451,12.404078483581543,10.147256851196289,9.556495666503906,8.326844215393066,14.809961318969727
13,219.52523374557495,0.0006965125158269617,17.275781631469727,8.607287406921387,7.6585612297058105,5.532891750335693,13.575409889221191,11.92391300201416,7.535275459289551,12.3671293258667,17.275781631469727
14,170.40013952255248,0.0006545084971874735,9.589452743530273,7.318425178527832,9.76322078704834,6.38043212890625,6.455357074737549,8.422813415527344,8.792098999023438,7.614381313323975,9.589452743530273
15,183.9006543159485,0.000611260466978157,22.189550399780273,11.668974876403809,7.852718353271484,7.5102972984313965,20.592945098876953,14.385653495788574,7.562295436859131,15.321349143981934,22.189550399780273
16,164.43138751983642,0.0005671166329088276,19.431249618530273,10.092962265014648,8.832146644592285,7.053426265716553,15.28563404083252,14.606215476989746,8.820141792297363,16.2545166015625,19.431249618530273
17,167.3672487258911,0.0005224324151752573,31.7265625,18.11248779296875,11.54146671295166,16.459138870239258,26.057231903076172,23.231107711791992,11.746452331542969,27.01862907409668,31.7265625
18,139.16534519195557,0.00047756758482474243,13.8154296875,8.876962661743164,9.42275333404541,5.758417129516602,12.604327201843262,11.451992988586426,8.331263542175293,12.454964637756348,13.8154296875
19,123.63966302871704,0.0004328833670911722,21.048046112060547,11.05875015258789,9.403429985046387,7.595988750457764,17.16493797302246,15.419621467590332,9.307109832763672,16.90760040283203,21.048046112060547
20,151.75040245056152,0.00038873953302184273,12.608789443969727,8.438037872314453,9.360669136047363,6.127388000488281,10.748913764953613,9.207491874694824,8.054994583129883,8.372065544128418,12.608789443969727
21,151.71314830780028,0.0003454915028125262,12.014551162719727,8.264937400817871,9.384199142456055,5.716839790344238,10.724702835083008,10.195414543151855,7.949850082397461,10.86060905456543,12.014551162719727
22,119.46740159988403,0.00030348748417303827,14.413866996765137,8.079212188720703,9.05103588104248,5.410338878631592,10.829995155334473,10.76037311553955,7.852483749389648,11.002840995788574,14.413866996765137
23,119.6234932899475,0.0002630656687635006,21.512109756469727,11.048762321472168,9.478689193725586,7.28775691986084,17.482666015625,15.181763648986816,9.068231582641602,16.335693359375,21.512109756469727
24,114.07044420242309,0.00022455150927394875,17.79345703125,10.080187797546387,9.172198295593262,6.9860615730285645,15.039454460144043,13.647774696350098,8.547216415405273,15.152152061462402,17.79345703125
25,115.02872552871705,0.00018825509907063323,13.200390815734863,8.380087852478027,9.349343299865723,5.592287540435791,11.293355941772461,10.338336944580078,8.017057418823242,10.557843208312988,13.200390815734863
26,114.1077428817749,0.0001544686755065677,16.334569931030273,9.106462478637695,9.437222480773926,5.993403911590576,13.013513565063477,12.591096878051758,8.413960456848145,13.656994819641113,16.334569931030273
27,98.31436691284179,0.00012346426699819455,19.388378143310547,10.423850059509277,9.361039161682129,6.767490386962891,16.27541732788086,14.115251541137695,8.704080581665039,15.293964385986328,19.388378143310547
28,97.4165906906128,9.549150281252631e-05,18.707422256469727,10.18582534790039,9.329696655273438,6.929232120513916,15.318894386291504,14.029783248901367,8.715202331542969,15.426555633544922,18.707422256469727
29,104.45487976074219,7.077560319906693e-05,18.791309356689453,10.289349555969238,9.423308372497559,7.172666072845459,15.24251937866211,14.21383285522461,8.711175918579102,15.786745071411133,18.791309356689453
30,96.86227235794067,4.951556604879047e-05,17.916698455810547,10.363574981689453,9.630778312683105,7.428396701812744,14.956241607666016,13.832966804504395,8.766989707946777,15.343284606933594,17.916698455810547
31,95.27299842834472,3.188256468013139e-05,18.740137100219727,10.581600189208984,9.630685806274414,7.602495193481445,15.423222541809082,14.379162788391113,8.974345207214355,15.988543510437012,18.740137100219727
32,93.33343696594238,1.8018569652073372e-05,17.795995712280273,9.989112854003906,9.390439987182617,6.915144443511963,14.652107238769531,13.314915657043457,8.478097915649414,14.479321479797363,17.795995712280273
33,91.72435779571533,8.035205700685162e-06,18.579198837280273,10.406787872314453,9.569896697998047,7.3553009033203125,15.246742248535156,14.017167091369629,8.740584373474121,15.443135261535645,18.579198837280273
34,93.07911930084228,2.012853002380465e-06,17.569238662719727,10.035499572753906,9.576414108276367,7.120582580566406,14.362732887268066,13.515247344970703,8.654134750366211,14.89991569519043,17.569238662719727
35,90.7722188949585,0.0,18.076854705810547,10.264849662780762,9.595829963684082,7.3184990882873535,14.817085266113281,13.849465370178223,8.739628791809082,15.321208953857422,18.076854705810547
