epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.6726353019475937,0.58203125,0.6490196817960494,0.6256410256410256,0.0003333333333333333
2,0.5113750559588274,0.7552083333333334,0.4613227208455404,0.7794871794871795,0.0006666666666666666
3,0.3633754799763362,0.83203125,0.3867250051253881,0.7948717948717948,0.001
4,0.3237406760454178,0.85546875,0.3431053387813079,0.8666666666666667,0.0009966191788709714
5,0.3294415157288313,0.84765625,0.39805523065420295,0.8512820512820513,0.0009865224352899118
6,0.2674254613618056,0.8684895833333334,0.41528258262540196,0.8923076923076924,0.0009698463103929542
7,0.269342294583718,0.8854166666666666,0.645122245641855,0.8512820512820513,0.0009468163201617061
8,0.1795445013170441,0.92578125,0.3442438290667875,0.8974358974358975,0.0009177439057064682
9,0.18489924942453703,0.921875,0.4648218069324055,0.8974358974358975,0.000883022221559489
10,0.18793754698708653,0.921875,0.3406128846681662,0.8974358974358975,0.0008431208189343669
11,0.17368723778054118,0.9309895833333334,0.4807785413204049,0.9230769230769231,0.0007985792958513931
12,0.1551486716295282,0.9296875,0.31240363304431623,0.9384615384615385,0.00075
13,0.13138491660356522,0.9466145833333334,0.2544340793903057,0.9128205128205128,0.0006980398830195785
14,0.09867018077056855,0.9544270833333334,0.20880623475101087,0.9538461538461539,0.0006434016163555452
15,0.09910667734220624,0.9622395833333334,0.18309084024184322,0.9538461538461539,0.0005868240888334653
16,0.11002767000657816,0.9596354166666666,0.2653784134449103,0.9384615384615385,0.0005290724144552379
17,0.1002759338201334,0.9635416666666666,0.38908515282181233,0.9076923076923077,0.0004709275855447621
18,0.06526170641882345,0.98046875,0.1919856316004044,0.9384615384615385,0.00041317591116653486
19,0.08885606865320976,0.9609375,0.2523389107142112,0.9384615384615385,0.00035659838364445503
20,0.07419383686889584,0.9661458333333334,0.15892505768017834,0.9538461538461539,0.0003019601169804216
21,0.07532826810105082,0.9713541666666666,0.221889490347641,0.9538461538461539,0.0002500000000000001
22,0.0687247930036392,0.9713541666666666,0.17524794798630935,0.9487179487179487,0.00020142070414860702
23,0.04341973276071561,0.9791666666666666,0.11214195520449911,0.9641025641025641,0.00015687918106563326
24,0.05752405309855627,0.9778645833333334,0.10070265439840463,0.9435897435897436,0.00011697777844051105
25,0.05501242500031367,0.98046875,0.09844900644742526,0.9641025641025641,8.225609429353187e-05
26,0.06993941539743294,0.9765625,0.09128472010294604,0.9692307692307692,5.318367983829392e-05
27,0.04467396306184431,0.9791666666666666,0.08220193386077866,0.9641025641025641,3.0153689607045842e-05
28,0.03871967989107361,0.9869791666666666,0.08316953671284211,0.9641025641025641,1.3477564710088097e-05
29,0.05047457517745594,0.9817708333333334,0.08352119983770909,0.9641025641025641,3.3808211290284885e-06
30,0.04625731009946321,0.9817708333333334,0.08416746396284837,0.958974358974359,0.0
