epoch,train_mse,val_mse,lr
1,0.0514667833800472,0.012466652815279207,0.0005
2,0.014071299408429435,0.010165929839015007,0.001
3,0.010858891150426297,0.009827537793862192,0.0009953429730181654
4,0.01003367006778717,0.007830599332718473,0.0009814586436738997
5,0.008679456037602255,0.007678711254345744,0.0009586056507527265
6,0.008173024876131897,0.008458102627804404,0.0009272097022732444
7,0.0077632691689013015,0.0075015569060648745,0.0008878556453522099
8,0.007331077476209473,0.009303523116598003,0.0008412765716093271
9,0.007062243353131981,0.007127139746554588,0.0007883401610574336
10,0.006876637478403392,0.006825065758471426,0.0007300325188655761
11,0.0063884354961503825,0.006204217580000036,0.0006674398060854931
12,0.006013223447925633,0.006140136367004168,0.000601728006526317
13,0.005797917571007496,0.006108769564056083,0.0005341212066823356
14,0.0055371573394430535,0.006275514480314757,0.00046587879331766457
15,0.005367124483122357,0.0058048546898521874,0.0003982719934736832
16,0.005154969585349872,0.005564147172789824,0.00033256019391450693
17,0.0046864578799743735,0.005734648904910213,0.00026996748113442394
18,0.004665748684090518,0.005664510962994475,0.00021165983894256646
19,0.004310635590393628,0.005429987301559825,0.00015872342839067305
20,0.004264192286479686,0.0052784841925297915,0.00011214435464779005
21,0.004115469995442601,0.0053260368340109525,7.279029772675571e-05
22,0.0038608384462783026,0.005170674742640633,4.139434924727359e-05
23,0.0038574275588394986,0.005154732503977261,1.8541356326100432e-05
24,0.003565853179454626,0.005166989665478468,4.657026981834622e-06
25,0.003654337952667404,0.005176359575241804,0.0
