epoch,train_mse,val_mse,lr
1,0.051345994727065164,0.011941759219295101,0.0005
2,0.013839035585433954,0.009459574026888923,0.001
3,0.01102138805602278,0.008715162462701922,0.0009953429730181654
4,0.009859539410986362,0.008161241105120433,0.0009814586436738997
5,0.008780142037375342,0.007723130719638185,0.0009586056507527265
6,0.008138506538012907,0.007999288175451128,0.0009272097022732444
7,0.00771740930753627,0.00742857865165723,0.0008878556453522099
8,0.007447544503070059,0.009590823377825712,0.0008412765716093271
9,0.006997919070445711,0.007166114097951274,0.0007883401610574336
10,0.006731638150467049,0.00681393322034886,0.0007300325188655761
11,0.006178525085782721,0.006464906111555664,0.0006674398060854931
12,0.006037145421751553,0.006417417889755023,0.000601728006526317
13,0.005813149407151199,0.0061981937246103035,0.0005341212066823356
14,0.005636249383955839,0.0062645416216630685,0.00046587879331766457
15,0.005257762367615388,0.006026364630186244,0.0003982719934736832
16,0.004927417438565975,0.0058231339199762595,0.00033256019391450693
17,0.0046022645552598294,0.006014108484512881,0.00026996748113442394
18,0.004574455086895753,0.0054664210188937815,0.00021165983894256646
19,0.004368656043273707,0.005562537185063487,0.00015872342839067305
20,0.004293692063185431,0.005268738565672385,0.00011214435464779005
21,0.004130762391945436,0.005338606184446498,7.279029772675571e-05
22,0.003885799139693734,0.005338380612432957,4.139434924727359e-05
23,0.0037597574376767237,0.005218537149460692,1.8541356326100432e-05
24,0.0036244673959334337,0.005207677118872342,4.657026981834622e-06
25,0.003707373250896732,0.005207470496430209,0.0
