epoch,train_loss,lr,selection_score,val_mae,val_mae_left,val_mae_straight,val_mae_right,bend_mae,bend_mae_left,bend_mae_straight,bend_mae_right
1,1698.3250568389892,0.0009938441702975688,15.871334075927734,17.74257469177246,14.800665855407715,13.782563209533691,25.638151168823242,15.871334075927734,23.510507583618164,5.322000980377197,27.058399200439453
2,462.911217880249,0.0009755282581475768,18.224897384643555,13.225462913513184,21.002357482910156,8.994926452636719,12.160070419311523,18.224897384643555,34.402427673339844,9.855439186096191,12.620508193969727
3,396.9671920776367,0.0009455032620941839,16.449188232421875,15.870075225830078,11.007766723632812,12.48928451538086,24.655927658081055,16.449188232421875,16.35841941833496,10.366150856018066,29.33447265625
4,336.08172912597655,0.0009045084971874737,13.667055130004883,11.5209379196167,15.264191627502441,7.084587097167969,14.24219799041748,13.667055130004883,21.092931747436523,4.8864569664001465,21.450586318969727
5,310.33707962036135,0.0008535533905932737,12.597308158874512,10.811662673950195,18.061668395996094,6.680724620819092,10.070463180541992,12.597308158874512,21.80130958557129,3.7055699825286865,18.068944931030273
6,279.40275077819825,0.0007938926261462366,11.621031761169434,9.872162818908691,15.141318321228027,4.6027936935424805,12.388352394104004,11.621031761169434,18.064273834228516,3.2553093433380127,19.941015243530273
7,264.6865119934082,0.0007269952498697733,27.439958572387695,25.65475082397461,38.83848190307617,26.148996353149414,13.518741607666016,27.439958572387695,43.902565002441406,26.42380714416504,6.008593559265137
8,276.18902320861815,0.0006545084971874737,11.066813468933105,8.705374717712402,12.249537467956543,4.247672080993652,11.628620147705078,11.066813468933105,15.427947998046875,5.13897180557251,17.2548828125
9,193.89702682495118,0.0005782172325201155,14.481258392333984,10.040837287902832,7.014977931976318,7.9343061447143555,15.5119047164917,14.481258392333984,7.306017875671387,15.29708480834961,23.040136337280273
10,172.81407165527344,0.0005,14.948433876037598,12.270000457763672,8.810327529907227,10.643654823303223,17.471445083618164,14.948433876037598,7.8328328132629395,15.674738883972168,23.609668731689453
11,197.56152296066284,0.0004217827674798847,9.344073295593262,7.490137577056885,9.689164161682129,5.817424774169922,7.830920219421387,9.344073295593262,9.205854415893555,8.436521530151367,11.444921493530273
12,158.99515056610107,0.00034549150281252633,15.96618366241455,11.521900177001953,8.660225868225098,9.097779273986816,17.278072357177734,15.96618366241455,8.233146667480469,18.244550704956055,22.256641387939453
13,156.7260226249695,0.00027300475013022663,18.7568359375,13.504487037658691,9.626849174499512,11.232211112976074,19.939952850341797,18.7568359375,9.585152626037598,21.484771728515625,26.163671493530273
14,131.20228548049926,0.00020610737385376348,13.571212768554688,9.647862434387207,9.042853355407715,6.966481685638428,13.787363052368164,13.571212768554688,8.202579498291016,14.814641952514648,18.647754669189453
15,131.7112024307251,0.00014644660940672625,20.9480037689209,15.606100082397461,10.563840866088867,13.485584259033203,22.850305557250977,20.9480037689209,10.99385929107666,24.60953712463379,27.51708984375
16,129.12790727615356,9.549150281252631e-05,14.246570587158203,10.166387557983398,9.023483276367188,7.037607669830322,15.376729011535645,14.246570587158203,8.550082206726074,15.654433250427246,19.447559356689453
17,117.67944841384887,5.4496737905816096e-05,14.829925537109375,10.882412910461426,9.417621612548828,7.785876274108887,16.3293514251709,14.829925537109375,8.78056812286377,16.363636016845703,20.272069931030273
18,109.64316740036011,2.447174185242323e-05,13.99083423614502,10.051237106323242,9.160318374633789,6.824707508087158,15.174066543579102,13.99083423614502,8.685521125793457,15.272261619567871,18.897069931030273
19,111.32275953292847,6.15582970243117e-06,13.537418365478516,9.713274955749512,9.220922470092773,6.594048500061035,14.344755172729492,13.537418365478516,8.41737174987793,14.781109809875488,18.257617950439453
20,108.60716972351074,0.0,13.850414276123047,9.98217487335205,9.279816627502441,6.8253045082092285,14.847087860107422,13.850414276123047,8.569186210632324,15.098873138427734,18.791309356689453
