epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.828784669010088,0.8747388579387186,0.08644127038833663,0.9687282835302293,0.0003333333333333333
2,0.6483006393303447,0.9673572423398329,0.10819199030974244,0.967685892981237,0.0006666666666666666
3,0.5574762609579424,0.9702298050139275,0.21972455632106916,0.9697706740792217,0.001
4,0.3936512411517236,0.974408077994429,0.06448081227911273,0.9826268241834607,0.0009966191788709714
5,0.48618007076334746,0.9773676880222841,0.07677856776824504,0.9749826268241835,0.0009865224352899118
6,0.4026777628266618,0.9784993036211699,0.0799135662630832,0.9791521890201529,0.0009698463103929542
7,0.35190333788799416,0.9776288300835655,0.06417086409551141,0.9836692147324531,0.0009468163201617061
8,0.3129020204893566,0.9821552924791086,0.09112962583355642,0.98227936066713,0.0009177439057064682
9,0.2675873830904445,0.9820682451253482,0.06679595622691618,0.9819318971507992,0.000883022221559489
10,0.2610331734398247,0.9837221448467967,0.08381729838105023,0.9826268241834607,0.0008431208189343669
11,0.23110258281574256,0.9849408077994429,0.07586722322652288,0.98227936066713,0.0007985792958513931
12,0.18995858298503385,0.9861594707520891,0.06669753994935083,0.9847116052814454,0.00075
13,0.19395428432103967,0.9852889972144847,0.08240709976242018,0.9829742876997916,0.0006980398830195785
14,0.19748138476735705,0.9857242339832869,0.07230681538726821,0.9829742876997916,0.0006434016163555452
15,0.14246124190264245,0.9885097493036211,0.10501562293989117,0.9808895066018068,0.0005868240888334653
